City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
514,Carutapera,BR,-1.2,-46.02,78.04,83,34,6.98,scattered clouds
515,Belokurikha,RU,52.0,84.99,17.11,90,91,1.12,overcast clouds
516,Yichang,CN,30.71,111.28,37.99,83,100,1.99,overcast clouds
517,Broken Hill,AU,-31.95,141.43,78.8,19,0,16.11,clear sky
518,Glens Falls,US,43.31,-73.64,33.01,84,20,4.7,few clouds
519,Les Cayes,HT,18.2,-73.75,73.56,82,100,9.44,overcast clouds
520,Svobodnyy,RU,51.4,128.13,-15.63,89,100,1.63,overcast clouds
521,Ploemeur,FR,47.73,-3.43,39.2,86,0,10.29,clear sky
522,Bud,US,39.45,-86.18,26.01,73,1,3.29,clear sky
523,Sibolga,ID,1.74,98.78,82.8,69,100,3.15,moderate rain
524,Muravlenko,RU,63.79,74.52,-9.47,90,99,11.54,overcast clouds
525,Kutum,SD,14.2,24.67,72.57,22,4,9.8,clear sky
526,Dunedin,NZ,-45.87,170.5,60.01,72,3,3.0,clear sky
527,Virginia Beach,US,36.85,-75.98,44.6,85,20,5.82,few clouds
528,Bereda,ES,43.27,-7.54,41.0,100,64,5.01,broken clouds
529,Rubtsovsk,RU,51.5,81.25,7.11,85,100,15.21,overcast clouds
530,Bayan,CN,46.08,127.4,-12.1,87,7,6.91,clear sky
531,Alappuzha,IN,9.49,76.33,83.82,67,11,7.78,few clouds
532,Moen,NO,69.13,18.61,21.2,92,40,19.46,scattered clouds
533,Linhares,BR,-19.39,-40.07,69.13,96,100,2.08,overcast clouds
534,Vostok,RU,46.49,135.88,-19.35,90,100,3.67,overcast clouds
535,Yatou,CN,37.15,122.38,19.09,94,100,26.13,light snow
